epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.46373,1.50794,2.9093,1.29923,1,0.0403,0.3733,0.21494,1.41551,3.28197,1.20993,0.000651515,0.000651515,0.000651515
2,9.68085,1.54578,2.11746,1.2897,0.70596,0.53355,0.5657,0.2701,1.53279,2.5238,1.43288,0.00125293,0.00125293,0.00125293
3,13.6265,1.51901,2.00564,1.34575,0.80426,0.54545,0.63359,0.36536,1.56675,2.17389,1.47217,0.00178835,0.00178835,0.00178835
4,17.5899,1.52376,1.84942,1.34975,0.42677,0.54545,0.35549,0.16741,1.65172,3.18636,1.4897,0.001703,0.001703,0.001703
5,21.7666,1.50028,1.66032,1.29393,0.74698,0.64646,0.71651,0.38894,1.53008,2.41312,1.45787,0.001604,0.001604,0.001604
6,26.0191,1.49641,1.53851,1.2892,0.58276,0.71717,0.63035,0.32136,1.54131,1.51707,1.37222,0.001505,0.001505,0.001505
7,30.0494,1.47802,1.48838,1.32564,0.66412,0.70707,0.64626,0.34001,1.49651,1.55769,1.33756,0.001406,0.001406,0.001406
8,34.1411,1.47224,1.3838,1.29262,0.81941,0.65657,0.77191,0.4272,1.54825,1.38492,1.41309,0.001307,0.001307,0.001307
9,38.3047,1.3962,1.26049,1.26846,0.7124,0.83838,0.78768,0.41878,1.51953,1.16336,1.32683,0.001208,0.001208,0.001208
10,42.3591,1.43692,1.22162,1.26285,0.84349,0.78788,0.83406,0.45359,1.44962,1.17381,1.30666,0.001109,0.001109,0.001109
11,51.7225,1.35407,1.35602,1.22458,0.77562,0.83798,0.82168,0.44901,1.412,1.10853,1.2792,0.00101,0.00101,0.00101
12,55.8386,1.34932,1.26091,1.25073,0.81059,0.73488,0.75343,0.41167,1.57572,1.17193,1.37384,0.000911,0.000911,0.000911
13,59.7907,1.31077,1.17658,1.23274,0.87688,0.82828,0.8597,0.48821,1.45507,1.08043,1.37287,0.000812,0.000812,0.000812
14,63.8295,1.28381,1.09405,1.1982,0.82043,0.79798,0.82679,0.45903,1.47689,0.99708,1.35085,0.000713,0.000713,0.000713
15,67.6989,1.30833,1.03866,1.20462,0.80674,0.82828,0.81417,0.44675,1.49021,1.06876,1.34957,0.000614,0.000614,0.000614
16,71.797,1.30334,1.05362,1.18102,0.86604,0.82828,0.85644,0.50258,1.40662,0.99105,1.30575,0.000515,0.000515,0.000515
17,75.8155,1.21979,0.99699,1.17531,0.81256,0.7882,0.82002,0.48965,1.36366,0.96837,1.30307,0.000416,0.000416,0.000416
18,79.7314,1.21755,0.97693,1.14643,0.82259,0.79798,0.84261,0.50704,1.36242,0.92512,1.26888,0.000317,0.000317,0.000317
19,83.8017,1.19015,0.91522,1.15301,0.8596,0.86586,0.88805,0.54247,1.33398,0.85037,1.24469,0.000218,0.000218,0.000218
20,87.8396,1.17834,0.88428,1.1235,0.86384,0.89722,0.89121,0.53643,1.33797,0.8321,1.23854,0.000119,0.000119,0.000119
